year,month,article_number,author_number
2013,01,331,69
2013,02,277,112
2013,03,376,163
2013,04,374,170
2013,05,358,162
2013,06,377,156
2013,07,424,123
2013,08,493,178
2013,09,631,109
2013,10,413,149
2013,11,422,153
2013,12,524,158
2014,01,698,340
2014,02,480,253
2014,03,1035,534
2014,04,1079,532
2014,05,722,399
2014,06,193,102
2014,07,389,198
2014,08,394,209
2014,09,403,213
2014,10,599,313
2014,11,462,260
2014,12,1105,314
2015,01,124,31
2015,02,63,31
2015,03,751,61
2015,04,693,27
2015,05,722,32
2015,06,582,31
2015,07,1024,29
2015,08,636,38
2015,09,190,30
2015,10,403,33
2015,11,163,22
2015,12,199,35
2016,01,2850,719
2016,02,2105,933
2016,03,2633,1009
2016,04,2864,1154
2016,05,2861,1315
2016,06,3567,1449
2016,07,3826,1124
2016,08,6531,1444
2016,09,10639,1261
2016,10,6203,1752
2016,11,8287,1722
2016,12,8288,1593
2017,01,6329,2277
2017,02,5424,2051
2017,03,9196,3474
2017,04,10142,4086
2017,05,7930,3103
2017,06,2920,713
2017,07,3079,940
2017,08,3367,1055
2017,09,4915,1428
2017,10,6528,1879
2017,11,5227,1745
2017,12,5829,2103
2018,01,100,36
2018,02,120,36
2018,03,64,29
2018,04,116,41
2018,05,76,27
2018,06,94,32
2018,07,104,47
2018,08,59,20
2018,09,0,0
2018,10,0,0
2018,11,0,0
2018,12,0,0
